Model,Set,Fold,Max_n,RMSE_n,MAE_n,MAPE_n,Max,RMSE,MAE,MAPE
GradientBoosting,Test,3,0.45963927083268014,0.1731271918567231,0.14086580333881346,56.866106411087436,147.54420593729031,55.57382858600812,45.21792287175913,35.12813982661926
RandomForest,Train,4,0.36783372531083186,0.13193840024775683,0.1070480641992418,48.16481446456496,118.07462582477703,42.35222647952994,34.362428607956616,30.344616215564606
RandomForest,Test,4,0.5253819551574621,0.1842902281163031,0.1506171371346276,37111103.54354125,168.64760760554537,59.157163225333306,48.348101020215466,44.24539199638847
GPR,Train,4,0.4763430742673247,0.16688238212805018,0.13605344952864962,61.954223971067634,152.90612683981124,53.5692446631041,43.67315729869652,38.85595807487485
GPR,Test,4,0.36979231014627656,0.17388777787871634,0.1410149633691132,50656541.09386563,118.7033315569548,55.81797669906795,45.26580324148535,43.417725261007455
KNN,Train,4,0.4876427829698857,0.16542496290049816,0.1324947164321072,58.8029019042761,156.5333333333333,53.10141309105991,42.53080397470641,36.88499662364133
KNN,Test,4,0.5871235721703011,0.19077245144085236,0.152545555413306,48933899.339689314,188.46666666666667,61.23795691251361,48.96712328767123,43.38184685288216
GradientBoosting,Train,4,0.42245258109605055,0.1421204052485721,0.11679495579964724,53.238830824063456,135.60727853183224,45.620650084791656,37.49118081168677,33.50349867484434
GradientBoosting,Test,4,0.4201399900078414,0.1769624385326203,0.14802969769724716,40635965.099309206,134.8649367925171,56.80494276897111,47.51753296081634,43.78176465139869
RandomForest,Train,5,0.3758109554658378,0.13126008711048787,0.10647606060004422,7316588.45658003,120.63531670453392,42.13448796246661,34.178815452614195,30.11834270049721
RandomForest,Test,5,0.4957826622264255,0.17467706924471146,0.14284467930540357,73.22119894254013,159.14623457468258,56.071339227552386,45.85314205703455,46.03412436921367
GPR,Train,5,0.47043848280294276,0.16360371502180876,0.13234955142148122,10228312.152636921,151.01075297974464,52.516792522000614,42.48420600629547,37.556958767610546
GPR,Test,5,0.48334361757954314,0.18265281257130817,0.1508322554769946,79.19398729131895,155.15330124303335,58.63155283538993,48.417154008115276,49.511025224173
KNN,Train,5,0.4708203530633437,0.16711993572839062,0.1328802550746172,10823281.536761291,151.13333333333335,53.645499368813404,42.65456187895212,37.71558875889933
KNN,Test,5,0.4955347871235722,0.1737484454271541,0.1440788631417232,74.25976493141933,159.06666666666666,55.773250982116465,46.249315068493146,46.458028610996635
GradientBoosting,Train,5,0.4707974479653043,0.14116397251118884,0.11475762732914216,8085325.580649107,151.1259807968627,45.31363517609162,36.83719837265463,32.50135804420899
GradientBoosting,Test,5,0.49711745451976075,0.1746670734377153,0.14575210842363964,74.00220575882268,159.5747029008432,56.068130573506615,46.78642680398833,46.66911184111692
